"Supply and disposition of milk products in Canada 1 2"
"Frequency: Monthly"
"Table: 32-10-0109-01 (formerly CANSIM 003-0007)"
"Release date: 2023-09-26"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,
"Years","Creamery butter",,"Other cheese (whole milk and cream)",,"Concentrated whole milk",,"Sweetened concentrated milk",
"August 2016","25,902","","60,400","","","x","","x"
"September 2016","23,059","","61,237","","","x","","x"
"October 2016","23,140","","65,349","","","x","","x"
"November 2016","25,511","","62,538","","","x","","x"
"December 2016","24,383","","59,320","","","x","","x"
"January 2017","24,190","","61,997","","","x","","x"
"February 2017","25,196","","61,345","","","x","","x"
"March 2017","32,096","","64,416","","","x","","x"
"April 2017","36,441","","64,004","","","x","","x"
"May 2017","38,676","","62,738","","","x","","x"
"June 2017","38,519","","63,563","","","x","","x"
"July 2017","39,128","","64,237","","","x","","x"
"August 2017","37,050","","66,826","","","x","","x"
"September 2017","36,575","","64,232","","","x","","x"
"October 2017","34,193","","67,936","","","x","","x"
"November 2017","33,978","","66,623","","","x","","x"
"December 2017","33,122","","62,524","","","x","","x"
"January 2018","35,090","","65,275","","","x","","x"
"February 2018","40,655","","58,247","","","x","","x"
"March 2018","42,979","","63,624","","","x","","x"
"April 2018","49,028","","66,425","","","x","","x"
"May 2018","50,314","","64,753","","","x","","x"
"June 2018","54,592","","65,276","","","x","","x"
"July 2018","53,443","","66,201","","","x","","x"
"August 2018","49,253","","63,198","","","x","","x"
"September 2018","42,680","","64,997","","","x","","x"
"October 2018","46,197","","72,924","","","x","","x"
"November 2018","46,541","","71,222","","","x","","x"
"December 2018","43,477","","68,110","","","x","","x"
"January 2019","45,873","","70,620","","","x","","x"
"February 2019","49,194","","68,251","","","x","","x"
"March 2019","51,885","","68,535","","","x","","x"
"April 2019","54,553","","74,936","","","x","","x"
"May 2019","53,787","","70,610","","","x","","x"
"June 2019","55,038","","69,931","","","x","","x"
"July 2019","54,197","","71,740","","","x","","x"
"August 2019","49,250","","71,450","","","x","","x"
"September 2019","46,604","","72,337","","","x","","x"
"October 2019","45,144","","80,155","","","x","","x"
